Type name;Member type;Member name;Signature;Inherited;Documentation
Component3DTexture;Static method;FromSelection;public static IEnumerable<App.Automation.SIM.Component3DTexture> FromSelection(IEnumerable<SpaceClaim.Api.V232.IDocObject> selectionItems);;Convert Items of a ScriptSelection to a list of Speos objects when their type is matching.
Component3DTexture;Static method;Find;public static App.Automation.SIM.Component3DTexture Find(string objectName);;Returns the object whose name matches exactly the specified string. Or, if the exact name is not found, the first object whose name matches the string as a regular expression. Example: Find("StartOfName.*")
Component3DTexture;Static method;Create;public static App.Automation.SIM.Component3DTexture Create(object parent);;Create a new object of this type under the specified parent component
Component3DTexture;Static method;Create;public static App.Automation.SIM.Component3DTexture Create();;Create a new object in the active context
Component3DTexture;Method;Clone;public App.Automation.SIM.Component3DTexture Clone();;Create a copy of this object in the active context
Component3DTexture;Method;CopyTo;public App.Automation.SIM.Component3DTexture CopyTo(Inf.SpaceClaim.Automation.IApiSpeosDocObject pasteTargetObject);;Create a copy of this object and paste it to the specified destination
Component3DTexture;Method;FindOccurrenceInActivePart;public object FindOccurrenceInActivePart();Yes;Search for occurrences of this object in the active Part
Component3DTexture;Method;FindOccurrenceInContextOf;public SpaceClaim.Api.V232.IDocObject FindOccurrenceInContextOf(SpaceClaim.Api.V232.IDocObject contextObject);Yes;Search for occurrences of this object in the specified Part
Component3DTexture;Method;ToString;public string ToString();Yes;Get a text representation of the object (used by the Script interpreter when the mouse cursor hovers an object variable)
Component3DTexture;Method;Delete;public bool Delete();Yes;Delete this object
Component3DTexture;Method;GetChildSubjects;public IEnumerable<SpaceClaim.Api.V232.CustomObject> GetChildSubjects();Yes;Retrieve all children as DocObjects
Component3DTexture;Method;GetChildren;public IEnumerable<TSpecificApiType> GetChildren<TSpecificApiType>();Yes;Retrieve all direct children of a given type
Component3DTexture;Method;Compute;public void Compute();Yes;Execute the Compute command on the object
Component3DTexture;Method;PublishParameter;public void PublishParameter(string fieldName, bool trueToPublish);Yes;Publish or un-publish a number attribute as driving parameter
Component3DTexture;Method;PublishAllParametersToWorkbench;public void PublishAllParametersToWorkbench(bool trueToPublish);Yes;Call this method to expose all object's attributes so that they can be accessible and driven from Workbench.
Component3DTexture;Method;ApplyPreset;public void ApplyPreset(string presetFilePath);Yes;Update the object configuration values according to the specified Preset file. Note: some object types are not compatible with the 'Presets' feature, and in such a case the method will report an error.
Component3DTexture;Method;ExportToPreset;public string ExportToPreset(string filePath);Yes;Export the current object configuration to a Preset file. Note: some object types are not compatible with the 'Presets' feature, and in such a case the method will report an error.
Component3DTexture;Property;OriginPoint;App.Automation.SIM.Component3DTexture.Component3DTextureOriginPoint OriginPoint;;Link attribute
Component3DTexture;Property;XDirection;App.Automation.SIM.Component3DTexture.Component3DTextureXDirection XDirection;;Link attribute
Component3DTexture;Property;XDirectionReverse;bool XDirectionReverse;;Boolean attribute
Component3DTexture;Property;YDirection;App.Automation.SIM.Component3DTexture.Component3DTextureYDirection YDirection;;Link attribute
Component3DTexture;Property;YDirectionReverse;bool YDirectionReverse;;Boolean attribute
Component3DTexture;Property;SupportGeometry;App.Automation.SIM.Component3DTexture.Component3DTextureSupportGeometry SupportGeometry;;Link attribute
Component3DTexture;Property;PatternFile;string PatternFile;;File attribute
Component3DTexture;Property;PatternFileFullPath;string PatternFileFullPath;;File attribute (absolute full path)
Component3DTexture;Property;PatternGlobalScale;double PatternGlobalScale;;Number attribute
Component3DTexture;Property;PatternGlobalScaleText;string PatternGlobalScaleText;;Number attribute (as text)
Component3DTexture;Property;OperationType;App.Automation.SIM.Component3DTexture.EnumOperationType OperationType;;Enum attribute
Component3DTexture;Property;OperationTypeIndex;int OperationTypeIndex;;Enum attribute (as index)
Component3DTexture;Property;MappingType;App.Automation.SIM.Component3DTexture.EnumMappingType MappingType;;Enum attribute
Component3DTexture;Property;MappingTypeIndex;int MappingTypeIndex;;Enum attribute (as index)
Component3DTexture;Property;MappingFile;string MappingFile;;File attribute
Component3DTexture;Property;MappingFileFullPath;string MappingFileFullPath;;File attribute (absolute full path)
Component3DTexture;Property;PatternStepX;double PatternStepX;;Number attribute
Component3DTexture;Property;PatternStepXText;string PatternStepXText;;Number attribute (as text)
Component3DTexture;Property;PatternStepY;double PatternStepY;;Number attribute
Component3DTexture;Property;PatternStepYText;string PatternStepYText;;Number attribute (as text)
Component3DTexture;Property;RadialDistance;double RadialDistance;;Number attribute
Component3DTexture;Property;RadialDistanceText;string RadialDistanceText;;Number attribute (as text)
Component3DTexture;Property;AreaRadius;double AreaRadius;;Number attribute
Component3DTexture;Property;AreaRadiusText;string AreaRadiusText;;Number attribute (as text)
Component3DTexture;Property;DistanceBetweenRings;double DistanceBetweenRings;;Number attribute
Component3DTexture;Property;DistanceBetweenRingsText;string DistanceBetweenRingsText;;Number attribute (as text)
Component3DTexture;Property;HexagonWidthX;double HexagonWidthX;;Number attribute
Component3DTexture;Property;HexagonWidthXText;string HexagonWidthXText;;Number attribute (as text)
Component3DTexture;Property;EdgeLengthX;double EdgeLengthX;;Number attribute
Component3DTexture;Property;EdgeLengthXText;string EdgeLengthXText;;Number attribute (as text)
Component3DTexture;Property;HexagonDistanceX;double HexagonDistanceX;;Number attribute
Component3DTexture;Property;HexagonDistanceXText;string HexagonDistanceXText;;Number attribute (as text)
Component3DTexture;Property;HexagonHeightY;double HexagonHeightY;;Number attribute
Component3DTexture;Property;HexagonHeightYText;string HexagonHeightYText;;Number attribute (as text)
Component3DTexture;Property;CentralPoint;bool CentralPoint;;Boolean attribute
Component3DTexture;Property;RegularMapping;bool RegularMapping;;Boolean attribute
Component3DTexture;Property;XPitchCurve;App.Automation.SIM.Component3DTexture.Component3DTextureXPitchCurve XPitchCurve;;Link attribute
Component3DTexture;Property;VarPitchXScale;double VarPitchXScale;;Number attribute
Component3DTexture;Property;VarPitchXScaleText;string VarPitchXScaleText;;Number attribute (as text)
Component3DTexture;Property;YPitchCurve;App.Automation.SIM.Component3DTexture.Component3DTextureYPitchCurve YPitchCurve;;Link attribute
Component3DTexture;Property;VarPitchYScale;double VarPitchYScale;;Number attribute
Component3DTexture;Property;VarPitchYScaleText;string VarPitchYScaleText;;Number attribute (as text)
Component3DTexture;Property;AreaLengthX;double AreaLengthX;;Number attribute
Component3DTexture;Property;AreaLengthXText;string AreaLengthXText;;Number attribute (as text)
Component3DTexture;Property;AreaLengthY;double AreaLengthY;;Number attribute
Component3DTexture;Property;AreaLengthYText;string AreaLengthYText;;Number attribute (as text)
Component3DTexture;Property;AngleX;double AngleX;;Number attribute
Component3DTexture;Property;AngleXText;string AngleXText;;Number attribute (as text)
Component3DTexture;Property;AngleY;double AngleY;;Number attribute
Component3DTexture;Property;AngleYText;string AngleYText;;Number attribute (as text)
Component3DTexture;Property;LimitingSurface;App.Automation.SIM.Component3DTexture.Component3DTextureLimitingSurface LimitingSurface;;Link attribute
Component3DTexture;Property;OffsetSurface;App.Automation.SIM.Component3DTexture.Component3DTextureOffsetSurface OffsetSurface;;Link attribute
Component3DTexture;Property;OffsetSurfaceScale;double OffsetSurfaceScale;;Number attribute
Component3DTexture;Property;OffsetSurfaceScaleText;string OffsetSurfaceScaleText;;Number attribute (as text)
Component3DTexture;Property;PatternDirectionType;App.Automation.SIM.Component3DTexture.EnumPatternDirectionType PatternDirectionType;;Enum attribute
Component3DTexture;Property;PatternDirectionTypeIndex;int PatternDirectionTypeIndex;;Enum attribute (as index)
Component3DTexture;Property;XScaleSurface;App.Automation.SIM.Component3DTexture.Component3DTextureXScaleSurface XScaleSurface;;Link attribute
Component3DTexture;Property;PatternXScale;double PatternXScale;;Number attribute
Component3DTexture;Property;PatternXScaleText;string PatternXScaleText;;Number attribute (as text)
Component3DTexture;Property;YScaleSurface;App.Automation.SIM.Component3DTexture.Component3DTextureYScaleSurface YScaleSurface;;Link attribute
Component3DTexture;Property;PatternYScale;double PatternYScale;;Number attribute
Component3DTexture;Property;PatternYScaleText;string PatternYScaleText;;Number attribute (as text)
Component3DTexture;Property;ZScaleSurface;App.Automation.SIM.Component3DTexture.Component3DTextureZScaleSurface ZScaleSurface;;Link attribute
Component3DTexture;Property;PatternZScale;double PatternZScale;;Number attribute
Component3DTexture;Property;PatternZScaleText;string PatternZScaleText;;Number attribute (as text)
Component3DTexture;Property;PreviewType;App.Automation.SIM.Component3DTexture.EnumPreviewType PreviewType;;Enum attribute
Component3DTexture;Property;PreviewTypeIndex;int PreviewTypeIndex;;Enum attribute (as index)
Component3DTexture;Property;PreviewX;double PreviewX;;Number attribute
Component3DTexture;Property;PreviewXText;string PreviewXText;;Number attribute (as text)
Component3DTexture;Property;PreviewY;double PreviewY;;Number attribute
Component3DTexture;Property;PreviewYText;string PreviewYText;;Number attribute (as text)
Component3DTexture;Property;PreviewZ;double PreviewZ;;Number attribute
Component3DTexture;Property;PreviewZText;string PreviewZText;;Number attribute (as text)
Component3DTexture;Property;PreviewSizeX;double PreviewSizeX;;Number attribute
Component3DTexture;Property;PreviewSizeXText;string PreviewSizeXText;;Number attribute (as text)
Component3DTexture;Property;PreviewSizeY;double PreviewSizeY;;Number attribute
Component3DTexture;Property;PreviewSizeYText;string PreviewSizeYText;;Number attribute (as text)
Component3DTexture;Property;PreviewSizeZ;double PreviewSizeZ;;Number attribute
Component3DTexture;Property;PreviewSizeZText;string PreviewSizeZText;;Number attribute (as text)
Component3DTexture;Property;MaxNumberOfPatterns;int MaxNumberOfPatterns;;Number attribute
Component3DTexture;Property;MaxNumberOfPatternsText;string MaxNumberOfPatternsText;;Number attribute (as text)
Component3DTexture;Property;Subject;SpaceClaim.Api.V232.CustomObject Subject;Yes;Get the underlying CustomObject, associated to the API object wrapper
Component3DTexture;Property;Name;string Name;Yes;Get or Set the name of the object
Component3DTexture;Property;Visible;bool Visible;Yes;Change the visibility status (same behavior as checking/unchecking on the tree view item)
Component3DTexture;Property;StatusInfo;string StatusInfo;Yes;Get the status of the object (warning or error message)
Component3DTexture;Property;IsUpToDate;bool IsUpToDate;Yes;Ask if the object was modified since its last successful computation
Component3DTexture.Component3DTextureOriginPoint;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
Component3DTexture.Component3DTextureOriginPoint;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
Component3DTexture.Component3DTextureOriginPoint;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
Component3DTexture.Component3DTextureOriginPoint;Method;Clear;public void Clear();;Link attribute: Clear the link
Component3DTexture.Component3DTextureOriginPoint;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
Component3DTexture.Component3DTextureXDirection;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
Component3DTexture.Component3DTextureXDirection;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
Component3DTexture.Component3DTextureXDirection;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
Component3DTexture.Component3DTextureXDirection;Method;Clear;public void Clear();;Link attribute: Clear the link
Component3DTexture.Component3DTextureXDirection;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
Component3DTexture.Component3DTextureYDirection;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
Component3DTexture.Component3DTextureYDirection;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
Component3DTexture.Component3DTextureYDirection;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
Component3DTexture.Component3DTextureYDirection;Method;Clear;public void Clear();;Link attribute: Clear the link
Component3DTexture.Component3DTextureYDirection;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
Component3DTexture.Component3DTextureSupportGeometry;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
Component3DTexture.Component3DTextureSupportGeometry;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
Component3DTexture.Component3DTextureSupportGeometry;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
Component3DTexture.Component3DTextureSupportGeometry;Method;Clear;public void Clear();;Link attribute: Clear the link
Component3DTexture.Component3DTextureSupportGeometry;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
Component3DTexture.Component3DTextureXPitchCurve;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
Component3DTexture.Component3DTextureXPitchCurve;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
Component3DTexture.Component3DTextureXPitchCurve;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
Component3DTexture.Component3DTextureXPitchCurve;Method;Clear;public void Clear();;Link attribute: Clear the link
Component3DTexture.Component3DTextureXPitchCurve;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
Component3DTexture.Component3DTextureYPitchCurve;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
Component3DTexture.Component3DTextureYPitchCurve;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
Component3DTexture.Component3DTextureYPitchCurve;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
Component3DTexture.Component3DTextureYPitchCurve;Method;Clear;public void Clear();;Link attribute: Clear the link
Component3DTexture.Component3DTextureYPitchCurve;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
Component3DTexture.Component3DTextureLimitingSurface;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
Component3DTexture.Component3DTextureLimitingSurface;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
Component3DTexture.Component3DTextureLimitingSurface;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
Component3DTexture.Component3DTextureLimitingSurface;Method;Clear;public void Clear();;Link attribute: Clear the link
Component3DTexture.Component3DTextureLimitingSurface;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
Component3DTexture.Component3DTextureOffsetSurface;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
Component3DTexture.Component3DTextureOffsetSurface;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
Component3DTexture.Component3DTextureOffsetSurface;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
Component3DTexture.Component3DTextureOffsetSurface;Method;Clear;public void Clear();;Link attribute: Clear the link
Component3DTexture.Component3DTextureOffsetSurface;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
Component3DTexture.Component3DTextureXScaleSurface;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
Component3DTexture.Component3DTextureXScaleSurface;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
Component3DTexture.Component3DTextureXScaleSurface;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
Component3DTexture.Component3DTextureXScaleSurface;Method;Clear;public void Clear();;Link attribute: Clear the link
Component3DTexture.Component3DTextureXScaleSurface;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
Component3DTexture.Component3DTextureYScaleSurface;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
Component3DTexture.Component3DTextureYScaleSurface;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
Component3DTexture.Component3DTextureYScaleSurface;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
Component3DTexture.Component3DTextureYScaleSurface;Method;Clear;public void Clear();;Link attribute: Clear the link
Component3DTexture.Component3DTextureYScaleSurface;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
Component3DTexture.Component3DTextureZScaleSurface;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
Component3DTexture.Component3DTextureZScaleSurface;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
Component3DTexture.Component3DTextureZScaleSurface;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
Component3DTexture.Component3DTextureZScaleSurface;Method;Clear;public void Clear();;Link attribute: Clear the link
Component3DTexture.Component3DTextureZScaleSurface;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
ComponentExport;Static method;FromSelection;public static IEnumerable<App.Automation.SIM.ComponentExport> FromSelection(IEnumerable<SpaceClaim.Api.V232.IDocObject> selectionItems);;Convert Items of a ScriptSelection to a list of Speos objects when their type is matching.
ComponentExport;Static method;Find;public static App.Automation.SIM.ComponentExport Find(string objectName);;Returns the object whose name matches exactly the specified string. Or, if the exact name is not found, the first object whose name matches the string as a regular expression. Example: Find("StartOfName.*")
ComponentExport;Static method;Create;public static App.Automation.SIM.ComponentExport Create(object parent);;Create a new object of this type under the specified parent component
ComponentExport;Static method;Create;public static App.Automation.SIM.ComponentExport Create();;Create a new object in the active context
ComponentExport;Method;Clone;public App.Automation.SIM.ComponentExport Clone();;Create a copy of this object in the active context
ComponentExport;Method;CopyTo;public App.Automation.SIM.ComponentExport CopyTo(Inf.SpaceClaim.Automation.IApiSpeosDocObject pasteTargetObject);;Create a copy of this object and paste it to the specified destination
ComponentExport;Method;GetResultFilePath;public string GetResultFilePath();;Get the list of paths of all computation resulting files
ComponentExport;Method;GetGeometrySettings;public App.Automation.SIM.SimulationSettings GetGeometrySettings();;Get the geometry settings (meshing behavior)
ComponentExport;Method;SetGeometrySettings;public void SetGeometrySettings(App.Automation.SIM.SimulationSettings simulationSettings);;Set the geometry settings (meshing behavior)
ComponentExport;Method;FindOccurrenceInActivePart;public object FindOccurrenceInActivePart();Yes;Search for occurrences of this object in the active Part
ComponentExport;Method;FindOccurrenceInContextOf;public SpaceClaim.Api.V232.IDocObject FindOccurrenceInContextOf(SpaceClaim.Api.V232.IDocObject contextObject);Yes;Search for occurrences of this object in the specified Part
ComponentExport;Method;ToString;public string ToString();Yes;Get a text representation of the object (used by the Script interpreter when the mouse cursor hovers an object variable)
ComponentExport;Method;Delete;public bool Delete();Yes;Delete this object
ComponentExport;Method;GetChildSubjects;public IEnumerable<SpaceClaim.Api.V232.CustomObject> GetChildSubjects();Yes;Retrieve all children as DocObjects
ComponentExport;Method;GetChildren;public IEnumerable<TSpecificApiType> GetChildren<TSpecificApiType>();Yes;Retrieve all direct children of a given type
ComponentExport;Method;Compute;public void Compute();Yes;Execute the Compute command on the object
ComponentExport;Method;PublishParameter;public void PublishParameter(string fieldName, bool trueToPublish);Yes;Publish or un-publish a number attribute as driving parameter
ComponentExport;Method;PublishAllParametersToWorkbench;public void PublishAllParametersToWorkbench(bool trueToPublish);Yes;Call this method to expose all object's attributes so that they can be accessible and driven from Workbench.
ComponentExport;Method;ApplyPreset;public void ApplyPreset(string presetFilePath);Yes;Update the object configuration values according to the specified Preset file. Note: some object types are not compatible with the 'Presets' feature, and in such a case the method will report an error.
ComponentExport;Method;ExportToPreset;public string ExportToPreset(string filePath);Yes;Export the current object configuration to a Preset file. Note: some object types are not compatible with the 'Presets' feature, and in such a case the method will report an error.
ComponentExport;Property;OriginPoint;App.Automation.SIM.ComponentExport.ComponentExportOriginPoint OriginPoint;;Link attribute
ComponentExport;Property;XDirection;App.Automation.SIM.ComponentExport.ComponentExportXDirection XDirection;;Link attribute
ComponentExport;Property;XDirectionReverse;bool XDirectionReverse;;Boolean attribute
ComponentExport;Property;YDirection;App.Automation.SIM.ComponentExport.ComponentExportYDirection YDirection;;Link attribute
ComponentExport;Property;YDirectionReverse;bool YDirectionReverse;;Boolean attribute
ComponentExport;Property;Sources;App.Automation.SIM.ComponentExport.ComponentExportSources Sources;;Links attribute
ComponentExport;Property;Geometries;App.Automation.SIM.ComponentExport.ComponentExportGeometries Geometries;;Children attribute
ComponentExport;Property;Subject;SpaceClaim.Api.V232.CustomObject Subject;Yes;Get the underlying CustomObject, associated to the API object wrapper
ComponentExport;Property;Name;string Name;Yes;Get or Set the name of the object
ComponentExport;Property;Visible;bool Visible;Yes;Change the visibility status (same behavior as checking/unchecking on the tree view item)
ComponentExport;Property;StatusInfo;string StatusInfo;Yes;Get the status of the object (warning or error message)
ComponentExport;Property;IsUpToDate;bool IsUpToDate;Yes;Ask if the object was modified since its last successful computation
ComponentExport.ComponentExportOriginPoint;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
ComponentExport.ComponentExportOriginPoint;Method;Set;public bool Set(SpaceClaim.Api.V232.IDocObject selectedObject);;Link attribute: Set the link to a DocObject
ComponentExport.ComponentExportOriginPoint;Method;Set;public bool Set(object docObjectFromPreviousVersion);;Link attribute: Set the link to an object (IDocObject type from unspecified version)
ComponentExport.ComponentExportOriginPoint;Method;Clear;public void Clear();;Link attribute: Clear the link
ComponentExport.ComponentExportOriginPoint;Property;LinkedObject;SpaceClaim.Api.V232.IDocObject LinkedObject;;Link attribute: Get the pointed object
ComponentExport.ComponentExportXDirection;Method;Set;public bool Set(Inf.SpaceClaim.Automation.IApiSpeosDocObject selectedObject);;Link attribute: Set the link to a script object
